date,content,attachment
2024/08/08,大学オープンキャンパスにて自動運転デモンストレーションを行いました。,
2024/10/25,新たにB3メンバーが6人配属されました。,/component/articles/sample.md
2024/11/01,研究室の2周年のお祝いをしました。,/img/iASL_member.jpg
2024/11/08,iASLのチームは自動運転AIチャレンジ2024決勝大会に参加しました。,/img/aichallenge24.jpg
2025/02/15,自動運転UX創造チャレンジに参加しました。,/img/uxchallenge.jpg
2025/07/06,MAGP - Minicar Autonomous Grand Prixに参加し、入賞しました。,
2025/08/02,音響学会東海支部中間発表会にて総合2位を受賞しました。,
2025/08/07,オープンキャンパスにて研究室紹介をおこないました。,
2025/09/23,FAST-zero’25にて発表を行いました。,/component/articles/fastzero25.md
2025/10/24,新たにB3メンバーが5人配属されました。,/component/articles/b3_25.md
2025/11/24,ITSC2025にてM2が発表をしました。,/component/articles/itsc25.md
2026/03/07,IV 2026での口頭発表にB4の研究論文が採択されました,/component/articles/iv26_accepted.md
2026/03/11,海と地球のシンポジウム2025にてM2が発表をしました。,/component/articles/umi25.md
2026/05/26,第三回MAGPに参加し、入賞しました。,/component/articles/MAGP2026_spring.md
2026/06/22,国際学会IV2026に参加し発表を行いました。,/component/articles/iv26.md
